Name,Rating,Price Rs,RAM Gb,ROM Gb,Expandable GB,Size Cm,Size Inch,R1 Cam MP,R2 Cam MP,R3 Cam MP,R4 Cam MP,Battery Mah,Processor,Image
"Redmi Note 9 (Aqua Green, 64 GB)",4.4,"13,587",4,64,512,16.59,6.53,48,,,,5020,MediaTek Helio G85 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Redmi 8A Dual (Midnight Grey, 64 GB)",4.2,"9,620",3,64,512,15.8,6.22,13,2,,,5000,Qualcomm Snapdragon 439 Processor,https://rukminim1.flixcart.com/image/312/312/kbl4cy80/mobile/k/u/a/mi-redmi-8a-dual-b086982vlb-original-imafswhvwcgnqgcu.jpeg?q=70
"OPPO A5 2020 (Dazzling White, 64 GB)",4.4,"12,299",3,64,,16.51,6.5,12,8,2,2,5000,Qualcomm Snapdragon 665 Processor,https://rukminim1.flixcart.com/image/312/312/k51cpe80pkrrdj/mobile/t/v/g/oppo-a5-2020-cph1931-original-imafkhhwhzz7zdjc.jpeg?q=70
"OPPO A5 2020 (Mirror Black, 64 GB)",4.4,"12,890",3,64,,16.51,6.5,12,8,2,2,5000,Qualcomm Snapdragon 665 Processor,https://rukminim1.flixcart.com/image/312/312/k51cpe80pkrrdj/mobile/e/m/g/oppo-a5-2020-cph1931-original-imafkhhw9pvtr73b.jpeg?q=70
"Infinix Smart 4 Plus (Violet, 32 GB)",4.4,"7,999",3,32,256,17.32,6.82,13,,,,6000,Mediatek Helio A25 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Infinix Smart 4 Plus (Ocean Wave, 32 GB)",4.4,"7,999",3,32,256,17.32,6.82,13,,,,6000,Mediatek Helio A25 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Redmi Note 9 (Pebble Grey, 128 GB)",4.3,"15,888",6,128,512,16.59,6.53,48,,,,5020,MediaTek Helio G85 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Realme 5 (Crystal Purple, 64 GB)",4.4,"11,999",4,64,256,16.51,6.5,12,8,2,2,5000,Qualcomm Snapdragon 665 2 GHz Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Redmi Note 9 Pro Max (Aurora Blue, 128 GB)",4.4,"22,800",8,128,512,16.94,6.67,64,8,,,5020,Qualcomm Snapdragon 720G Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Redmi 9i (Nature Green, 64 GB)",4.5,"8,299",4,64,512,16.59,6.53,13,,,,5000,MediaTek Helio G25 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"OPPO A11K (Deep Blue, 32 GB)",4.2,"8,990",2,32,256,15.8,6.22,13,2,,,4230,MediaTek Helio P35 Octa Core Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Samsung Galaxy M01 (Black, 32 GB)",4.2,"8,614",3,32,512,14.48,5.7,13,2,,,4000,Qualcomm Snapdragon (SDM439) Octa Core Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Samsung Galaxy M31 (Ocean Blue, 128 GB)",4.3,"19,396",6,128,512,16.26,6.4,64,8,5,5,6000,Samsung Exynos 9 Octa 9611 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Samsung Galaxy A21s (White, 64 GB)",4.2,"14,999",4,64,512,16.51,6.5,48,8,2,2,5000,Exynos 850 Octa Core Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Samsung Galaxy A21s (Blue, 64 GB)",4.2,"16,499",6,64,512,16.51,6.5,48,8,2,2,5000,Exynos 850 Octa Core Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Realme X3 (Glacier Blue, 128 GB)",4.3,"25,999",8,128,,16.69,6.57,64,12,8,2,4200,Qualcomm Snapdragon 855+ Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Realme X3 (Arctic White, 128 GB)",4.3,"25,999",8,128,,16.69,6.57,64,12,8,2,4200,Qualcomm Snapdragon 855+ Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Motorola G9 (Forest Green, 64 GB)",4.1,"11,499",4,64,512,16.51,6.5,48,2,2,,5000,Qualcomm Snapdragon 662 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Samsung Galaxy A21s (Black, 64 GB)",4.2,"14,999",4,64,512,16.51,6.5,48,8,2,2,5000,Exynos 850 Octa Core Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Redmi Note 9 Pro (Champagne Gold, 128 GB)",4.3,"16,681",4,128,512,16.94,6.67,48,8,5,2,5020,Qualcomm® Snapdragon™ 720G Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Lava Z61 Pro (Lavender Blue, 16 GB)",4,"5,777",2,16,128,13.84,5.45,8,,,,3100,Unisoc Octa Core Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Samsung Galaxy M21 (Midnight Blue, 128 GB)",4.3,"17,248",6,128,512,16.26,6.4,48,8,5,,6000,Exynos 9611-Octa Core processor Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Realme 6 Pro (Lightning Blue, 128 GB)",4.4,"18,999",6,128,256,16.76,6.6,64,12,8,2,4300,Snapdragon 720G Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Vivo V19 (Piano Black, 128 GB)",4.4,"24,990",8,128,512,16.36,6.44,48,8,2,2,4500,Qualcomm Snapdragon 712 AIE Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Redmi Y2 (Blue, 32 GB)",4.5,"9,199",3,32,256,15.21,5.99,12,5,,,3080,Qualcomm Snapdragon 625 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Redmi Note 9 Pro Max (Champagne Gold, 128 GB)",4.3,"19,699",6,128,512,16.94,6.67,64,8,,,5020,Qualcomm Snapdragon 720G Processor,https://rukminim1.flixcart.com/image/312/312/ken59jk0/mobile/k/g/w/mi-redmi-note-9-pro-max-m2003j6b1l-original-imafv9zfdjwuys9g.jpeg?q=70
"Realme Narzo 20A (Victory Blue, 64 GB)",,"9,499",4,64,256,16.51,6.5,12,2,2,,5000,Qualcomm Snapdragon 665 Processor,https://rukminim1.flixcart.com/image/312/312/kfbfr0w0/mobile/7/q/z/realme-narzo-20a-rmx2050-original-imafvswtu6wjavce.jpeg?q=70
"Realme Narzo 20A (Victory Blue, 32 GB)",,"8,499",3,32,256,16.51,6.5,12,2,2,,5000,Qualcomm Snapdragon 665 Processor,https://rukminim1.flixcart.com/image/312/312/kfbfr0w0/mobile/7/q/z/realme-narzo-20a-rmx2050-original-imafvswtu6wjavce.jpeg?q=70
"Realme Narzo 20A (Glory Sliver, 64 GB)",,"9,499",4,64,256,16.51,6.5,12,2,2,,5000,Qualcomm Snapdragon 665 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Realme Narzo 20A (Glory Sliver, 32 GB)",,"8,499",3,32,256,16.51,6.5,12,2,2,,5000,Qualcomm Snapdragon 665 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Motorola G9 (Sapphire Blue, 64 GB)",4.1,"11,499",4,64,512,16.51,6.5,48,2,2,,5000,Qualcomm Snapdragon 662 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"OPPO F15 (Lightening Black, 128 GB)",4.3,"16,990",4,128,256,16.26,6.4,48,8,2,2,4000,MediaTek Helio P70 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Samsung Galaxy A31 (Prism Crush Blue, 128 GB)",4.3,"19,999",6,128,512,16.26,6.4,48,8,5,5,5000,MediaTek (MT6768) Octa Core Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Vivo Z1Pro (Sonic Blue, 128 GB)",4.5,"17,990",6,128,256,16.59,6.53,16,2,8,,5000,Qualcomm Snapdragon 712 AIE Octa Core 2.3GHz Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Samsung Galaxy M01 (Blue, 32 GB)",4.2,"8,597",3,32,512,14.48,5.7,13,2,,,4000,Qualcomm Snapdragon (SDM439) Octa Core Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Samsung M01 core (Black, 32 GB)",3.7,"6,399",2,32,512,13.46,5.3,8,,,,3000,MediaTek | MT6739WW quad core  Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"OPPO F11 Pro (Aurora Green, 128 GB)",4.4,"17,990",6,128,256,16.51,6.5,48,5,,,4000,MediaTek Helio P70 Octa Core 2.1 GHz Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Redmi Note 9 (Arctic White, 128 GB)",4.3,"15,801",6,128,512,16.59,6.53,48,,,,5020,MediaTek Helio G85 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Voto V2 (Champagne, 16 GB)",3.5,"3,990",2,16,,12.7,5,13,,,,3000,Spreadtrum SC9832 Cortex A7 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Realme 5 Pro (Chroma White, 128 GB)",4.5,"16,999",8,128,256,16,6.3,48,8,2,2,4035,Qualcomm Snapdragon SDM712 Octa Core 2.3 GHz Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Tecno Spark 5 Pro (Ice Jadeite, 64 GB)",4.3,"10,980",4,64,256,16.64,6.55,16,2,2,,5000,MediaTek Helio A25 Octa Core Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Redmi Note 9 Pro (Aurora Blue, 64 GB)",4.3,"15,395",4,64,512,16.94,6.67,48,8,5,2,5020,Qualcomm® Snapdragon™ 720G Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Vivo Z1x (Phantom Purple, 128 GB)",4.4,"18,990",8,128,,16.21,6.38,48,8,2,,4500,Qualcomm Snapdragon 712 AIE Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Vivo Z1x (Phantom Purple, 64 GB)",4.4,"16,990",6,64,,16.21,6.38,48,8,2,,4500,Qualcomm Snapdragon 712 AIE Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Mi A3 (Not just Blue, 128 GB)",4.2,"17,485",6,128,256,15.44,6.08,48,8,2,,4030,Qualcomm Snapdragon 665 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Samsung Galaxy A51 (Prism Crush White, 128 GB)",4.4,"24,499",8,128,512,16.26,6.4,48,12,5,5,4000,Exynos 9611 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Redmi Note 7 Pro (Nebula Red, 128 GB)",4.4,"16,999",6,128,256,16,6.3,48,5,,,4000,Qualcomm Snapdragon 675 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Samsung Galaxy M31s (Mirage Blue, 128 GB)",4.4,"22,290",6,128,,12.7,5,64,,,,6000,Exynos 9611 octa core Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Samsung Galaxy M40 (Midnight Blue, 128 GB)",4.2,"16,065",6,128,,16,6.3,32,,,,3500,Qualcomm Snapdragon 675 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Redmi Note 9 Pro (Glacier White, 128 GB)",4.3,"18,480",6,128,512,16.94,6.67,48,8,5,2,5020,Qualcomm® Snapdragon™ 720G Processor,https://rukminim1.flixcart.com/image/312/312/kcdp5zk0/mobile/6/e/k/mi-redmi-note-9-pro-mzb9105in-original-imaftgy6gwe9vnqr.jpeg?q=70
"OPPO A11K (Flowing Silver, 32 GB)",4.2,"8,990",2,32,256,15.8,6.22,13,2,,,4230,MediaTek Helio P35 Octa Core Processor,https://rukminim1.flixcart.com/image/312/312/kbs9k7k0/mobile/s/k/2/oppo-a11k-cph2083-original-imaft25bhg9f3k2f.jpeg?q=70
"Samsung Galaxy M01s (Grey, 32 GB)",4.3,"10,225",3,32,512,15.75,6.2,13,2,,,4000,MediaTek | MT6762 octa core Processor,https://rukminim1.flixcart.com/image/312/312/kdnf98w0/mobile/g/z/n/samsung-galaxy-m01s-b089ms4lgt-original-imafug5gtyqhdwb8.jpeg?q=70
"Tecno Camon 15 Pro (Opal White, 128 GB)",4.1,"16,990",6,128,256,16.59,6.53,48,2,5,,4000,Helio P35 MT6765 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Samsung Galaxy A31 (Prism Crush White, 128 GB)",4.3,"19,999",6,128,512,16.26,6.4,48,8,5,5,5000,MediaTek (MT6768) Octa Core Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Samsung Galaxy A10s (Black, 32 GB)",4.3,"10,999",3,32,512,15.75,6.2,13,2,,,4000,MediaTek MT6762 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Samsung Galaxy A51 (Haze Crush Silver, 128 GB)",4.4,"24,499",8,128,512,16.26,6.4,48,12,5,5,4000,Exynos 9611 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Samsung Galaxy M21 (Midnight Blue, 64 GB)",4.3,"15,366",4,64,512,16.26,6.4,48,8,5,,6000,Exynos 9611-Octa Core processor Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"VOTO V12 (Black, 16 GB)",3.5,"3,930",2,16,,12.7,5,13,,,,3000,Spreadtrum 9832 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Panasonic Eluga I7 (Black, 16 GB)",3.7,"6,490",2,16,256,13.87,5.46,8,,,,4000,MediaTek Quad Core Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Realme 6 (Comet Blue, 128 GB)",4.4,"15,999",6,128,256,16.51,6.5,64,8,2,2,4300,MediaTek Helio G90T Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Samsung Galaxy A51 (Prism Crush Black, 128 GB)",4.4,"24,499",8,128,512,16.26,6.4,48,12,5,5,4000,Exynos 9611 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Vivo V19 (Mystic Silver, 128 GB)",4.4,"24,990",8,128,512,16.36,6.44,48,8,2,2,4500,Qualcomm Snapdragon 712 AIE Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Vivo V19 (Mystic Silver, 256 GB)",4.4,"27,990",8,256,512,16.36,6.44,48,8,2,2,4500,Qualcomm Snapdragon 712 AIE Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"iQOO 3 (Quantum Silver, 256 GB)",4.5,"37,990",8,256,,16.36,6.44,48,13,13,2,4440,Qualcomm Snapdragon 865 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Realme X3 SuperZoom (Arctic White, 256 GB)",4.2,"32,999",12,256,,16.69,6.57,64,8,8,2,4200,Qualcomm Snapdragon 855+ Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"OPPO Reno3 Pro (Auroral Blue, 256 GB)",4.4,"29,990",8,256,256,16.26,6.4,64,13,8,2,4025,MediaTek Helio P95 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Redmi Note 7 Pro (Neptune Blue, 64 GB)",4.5,"14,490",4,64,256,16,6.3,48,5,,,4000,Qualcomm Snapdragon 675 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"OPPO A31 (Fantasy White, 128 GB)",4.3,"14,990",6,128,256,16.51,6.5,12,2,2,,4230,MediaTek Helio P35 Octa Core Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"OPPO A31 (Mystery Black, 128 GB)",4.3,"14,990",6,128,256,16.51,6.5,12,2,2,,4230,MediaTek Helio P35 Octa Core Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Honor 9X (Midnight Black, 128 GB)",4.3,"15,999",4,128,512,16.74,6.59,48,8,2,,4000,Kirin 710F Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"OPPO F15 (Blazing Blue, 128 GB)",4.3,"16,990",4,128,256,16.26,6.4,48,8,2,2,4000,MediaTek Helio P70 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Tecno Camon 15 (Fascinating Purple, 64 GB)",4.2,"11,499",4,64,256,16.64,6.55,48,2,2,,5000,Helio P22 MT6762 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Tecno Camon 15 (SHOAL GOLD, 64 GB)",4.2,"11,499",4,64,256,16.64,6.55,48,2,2,,5000,Helio P22 MT6762 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Samsung Galaxy M31s (Mirage Black, 128 GB)",4.4,"22,385",6,128,,16.51,6.5,64,,,,6000,Exynos 9611 Processor,https://rukminim1.flixcart.com/image/312/312/keekmfk0/mobile/n/g/p/samsung-galaxy-m31s-sm-m317fzkdins-original-imafv3py9qnwfeft.jpeg?q=70
"Redmi 8A Dual (Midnight Grey, 32 GB)",4.2,"8,275",2,32,512,15.8,6.22,13,2,,,5000,Qualcomm Snapdragon 439 Processor,https://rukminim1.flixcart.com/image/312/312/k6tniq80/mobile/u/d/h/mi-redmi-8a-dual-b07x1kta-original-imafp73grqyzv9t3.jpeg?q=70
"OPPO A9 2020 (Space Purple, 128 GB)",4.3,"17,990",8,128,256,16.51,6.5,48,8,2,2,5000,Qualcomm Snapdragon 665 Processor,https://rukminim1.flixcart.com/image/312/312/k51cpe80pkrrdj/mobile/j/t/c/oppo-a9-2020-cph1937-original-imafkhhxczz79agw.jpeg?q=70
"Samsung Galaxy M11 (Violet, 32 GB)",4.2,"10,898",3,32,512,16.26,6.4,13,5,2,,5000,Qualcomm Snapdragon (SDM450-F01) Octa Core Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Samsung Galaxy A51 (Prism Crush Blue, 128 GB)",4.4,"22,999",6,128,512,16.26,6.4,48,12,5,5,4000,Exynos 9611 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Redmi Note 7 (Onyx Black, 64 GB)",4.5,"13,198",4,64,256,16,6.3,12,2,,,4000,Qualcomm Snapdragon 660 AIE Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Lenovo A7 (Blue, 64 GB)",4.5,"9,990",4,64,128,15.47,6.09,13,,,,4000,Octa-core Unisoc SC9863 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Redmi Note 6 Pro (Red, 64 GB)",4.5,"14,639",6,64,256,15.9,6.26,12,5,,,4000,Qualcomm Snapdragon 636 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Realme X (Space Blue, 128 GB)",4.5,"20,999",8,128,,16.59,6.53,48,5,,,3765,Qualcomm Snapdragon 710 Octa Core 2.2 GHz AIE Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Lenovo A7 (Black, 64 GB)",4.5,"9,990",4,64,128,15.47,6.09,13,,,,4000,Octa-core Unisoc SC9863 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Redmi Note 6 Pro (Rose Gold, 64 GB)",4.5,"15,990",6,64,256,15.9,6.26,12,5,,,4000,Qualcomm Snapdragon 636 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Redmi Note 9 Pro Max (Champagne Gold, 64 GB)",4.3,"17,767",6,64,,16.94,6.67,64,,,,5020, Qualcomm Snapdragon 720G octa-core processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Realme 6 (Comet White, 128 GB)",4.4,"15,999",6,128,256,16.51,6.5,64,8,2,2,4300,MediaTek Helio G90T Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Ismart Extreme (Sea Green, 32 GB)",2.9,"6,299",2,32,,15.9,6.26,8,,,,3000,Snapdragon Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"OPPO F11 Pro (Waterfall Grey, 128 GB)",4.4,"17,990",6,128,256,16.51,6.5,48,5,,,4000,MediaTek Helio P70 Octa Core 2.1 GHz Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Realme XT (Pearl White, 64 GB)",4.5,"16,999",4,64,256,16.26,6.4,64,8,2,2,4000,Qualcomm 712 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"TECNO Spark 6 Air (Ocean Blue, 32 GB)",5,"9,499",3,32,,17.78,7,13,,,,6000,MediaTek Helio A22 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Vivo V15 Pro (Topaz Blue, 128 GB)",4.5,"23,499",6,128,256,16.23,6.39,48,5,8,,3700,Qualcomm Snapdragon 675AIE Octa Core 2.0GHz Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Redmi Note 8 (Moonlight White, 64 GB)",4.4,"13,999",4,64,512,16,6.3,48,8,2,2,4000,Qualcomm Snapdragon 665 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Samsung Galaxy A71 (Prism Crush Blue, 128 GB)",4.4,"29,499",8,128,512,17.02,6.7,64,12,5,5,4500,Qualcomm SM7150 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Mi A3 (Kind of Grey, 128 GB)",4.2,"17,499",6,128,256,15.44,6.08,48,8,2,,4030,Qualcomm Snapdragon 665 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"OPPO Reno2 Z (Luminous Black, 256 GB)",4.5,"27,490",8,256,256,16.51,6.5,48,8,2,2,4000,MediaTek Helio P90 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Samsung Galaxy A71 (Prism Crush Black, 128 GB)",4.4,"29,499",8,128,512,17.02,6.7,64,12,5,5,4500,Qualcomm SM7150 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Realme X2 (Pearl White, 256 GB)",4.5,"22,999",8,256,,16.26,6.4,64,8,2,2,4000,Qualcomm Snapdragon 730G Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Realme X2 (Pearl Blue, 256 GB)",4.5,"22,999",8,256,,16.26,6.4,64,8,2,2,4000,Qualcomm Snapdragon 730G Processor,https://rukminim1.flixcart.com/image/312/312/k41mp3k0/mobile/7/h/g/realme-x2-rmx1992-original-imafnfe8kahx3kyz.jpeg?q=70
"Realme X2 (Pearl Green, 64 GB)",4.5,"17,999",4,64,,16.26,6.4,64,8,2,2,4000,Qualcomm Snapdragon 730G Processor,https://rukminim1.flixcart.com/image/312/312/k41mp3k0/mobile/f/6/g/realme-x2-rmx1992-original-imafnfe8k8yutker.jpeg?q=70
"Vivo S1 (Skyline Blue, 64 GB)",4.4,"20,990",6,64,256,16.21,6.38,16,8,2,,4500,Helio P65 (MT6768) Processor,https://rukminim1.flixcart.com/image/312/312/k3xcdjk0pkrrdj/mobile/c/m/g/vivo-s1-vivo-1907-pd1913f-ex-original-imafgyfphrhdhvra.jpeg?q=70
"Samsung Galaxy A71 (Haze Crush Silver, 128 GB)",4.4,"29,499",8,128,512,17.02,6.7,64,12,5,5,4500,Qualcomm SM7150 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Redmi Note 8 Pro (Halo White, 64 GB)",4.4,"15,999",6,64,512,16.59,6.53,64,8,2,2,4500,MediaTek Helio G90T Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Mi A3 (More Than White, 64 GB)",4.3,"14,999",4,64,256,15.46,6.088,48,8,2,,4030,Qualcomm Snapdragon 665 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Redmi Note 9 (Pebble Grey, 64 GB)",4.3,"13,319",4,64,,16.59,6.53,48,,,,5020,Mediatek Helio G85 octa core processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Redmi Note 9 (Aqua Green, 128 GB)",4.3,"14,894",4,128,,16.59,6.53,48,,,,5020,Mediatek Helio G85 octa core processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Vivo S1 (Diamond Black, 128 GB)",4.4,"19,229",6,128,256,16.21,6.38,16,8,2,,4500,Helio P65 (MT6768) Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"OPPO A5 2020 (Mirror Black, 64 GB)",4.4,"14,399",4,64,,16.51,6.5,12,8,2,2,5000,Qualcomm Snapdragon 665 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Redmi Note 9 Pro Max (Interstellar Black, 128 GB)",4.3,"18,990",6,128,512,16.94,6.67,64,8,5,2,5020,Qualcomm Snapdragon 720G Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Redmi 6A (Gold, 16 GB)",4.3,"7,399",2,16,128,13.84,5.45,13,,,,3000,Mediatek Helio A22 Quad Core Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Samsung Galaxy M11 (Black, 32 GB)",4.2,"10,899",3,32,512,16.26,6.4,13,5,2,,5000,Qualcomm Snapdragon (SDM450-F01) Octa Core Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
